,ASIANPAINT,AXISBANK,BAJFINANCE,BHARTIARTL,HCLTECH,HDFC,HDFCBANK,HINDUNILVR,ICICIBANK,INFY,ITC,KOTAKBANK,LT,MARUTI,NESTLEIND,RELIANCE,SBIN,SUNPHARMA,TCS,WIPRO
ITC,0.001482030187896025,0.002269974208476425,0.0021262305691398804,0.001787614293288327,0.0013167978336854646,0.002500477474675457,0.0019570346216488854,0.0016364576501890354,0.002537735007239557,0.0011431931260394196,0.1441313649683033,0.001934179879288281,0.002038172069216847,0.0016552614666637828,0.0009918667829359247,0.0017142134557252072,0.0022360907985638652,0.0014193108596926235,0.0013825845277546174,0.0011798890034188866
KOTAKBANK,0.0023360176687303685,0.004902921368491688,0.003995388767528027,0.0022674117540889874,0.0017531771194672753,0.00409006564213166,0.0038965501248257616,0.0018669855160654864,0.004698645081201129,0.0018019426704524932,0.0019341798792882807,0.14572039345442428,0.003985438723144668,0.0031490386012546336,0.0009438673849566357,0.003416380997230046,0.003954512521544602,0.0018497594588940999,0.001635300274081775,0.0015460880089445737
LT,0.002497246096296923,0.005966652966177924,0.00388499524017361,0.0028875321959202158,0.0017473954269833245,0.0038082515956093968,0.0035524172057384666,0.0016002679286317417,0.005659340951419822,0.0018209394429133951,0.002038172069216847,0.003985438723144668,0.14637966920341683,0.003757052654914427,0.001444057789847661,0.0034967071167084796,0.005427783158825599,0.0018587659160961046,0.001471480200079332,0.0015413938254188089
MARUTI,0.002663001913303355,0.004740759668899001,0.003969573962719852,0.0022807830574197,0.0015972552787704075,0.0033074063521056417,0.002858816580017256,0.001785046471790118,0.004254851100759178,0.0013485278346602838,0.0016552614666637828,0.0031490386012546336,0.003757052654914427,0.14632236790666908,0.0008400797624634096,0.00306456051117905,0.004000516659655575,0.0015150305840283356,0.001144518135791374,0.001210027120831853
NESTLEIND,0.0022262541171200042,0.0020018064492788074,0.0023190546108111656,0.0007814470916920742,0.00043015357086485947,0.0007036672648661656,0.0011203814868647039,0.0019825349852211935,0.0010149951527836923,0.00021510894110687647,0.0009918667829359247,0.0009438673849566357,0.001444057789847661,0.0008400797624634096,0.2659092516360722,0.0014553536198078634,0.001095229445239273,0.0016370512376294704,0.000263982275212947,0.00047504904565506654
RELIANCE,0.002233407855056839,0.004170980314272226,0.0032234662094225517,0.002678114708787631,0.00222749734839565,0.0031903161775408673,0.002918946550121784,0.0017827230894148429,0.004285209256549422,0.001893622220205168,0.0017142134557252072,0.003416380997230046,0.0034967071167084796,0.00306456051117905,0.0014553536198078634,0.1456372863393083,0.00391351202428176,0.002104156014222209,0.0018956580307859627,0.0018181935279945642
SBIN,0.00231894236672191,0.007252534809547257,0.004620668430706286,0.0033174561174501987,0.0016825695485531713,0.004232130443230537,0.0035600773939880306,0.001440943162227338,0.0078221213499675,0.00182486287003551,0.0022360907985638652,0.003954512521544602,0.005427783158825599,0.004000516659655575,0.001095229445239273,0.00391351202428176,0.1507768444257098,0.0018171730563938122,0.0013068918436812238,0.0014729231598270805
SUNPHARMA,0.0013813188077342682,0.0022347523939876394,0.0018858744853601712,0.0015218710553637246,0.0013996274192336993,0.0017451788927214025,0.0016179729143358538,0.00123860637755719,0.0021974871972688255,0.0013055193089241846,0.0014193108596926235,0.0018497594588940999,0.0018587659160961046,0.0015150305840283356,0.0016370512376294704,0.002104156014222209,0.0018171730563938122,0.14669811880932662,0.0011803209369667474,0.001334229656617324
TCS,0.0010559862163599695,0.0018294275869732025,0.0015066061842347622,0.0012077825434051186,0.003799482568621693,0.001755762773718855,0.001528973922548094,0.0011711179998261478,0.0020090679914939163,0.0037097566119340566,0.0013825845277546174,0.001635300274081775,0.001471480200079332,0.001144518135791374,0.000263982275212947,0.0018956580307859627,0.0013068918436812235,0.0011803209369667474,0.1443092107650149,0.0030456354343625504
WIPRO,0.001109924511874608,0.0019194363685749733,0.0014210909129006963,0.001189923568920454,0.0033706927362041478,0.0016744599727046238,0.0013489433931171324,0.0011966539250165944,0.0020122727851625464,0.0032172979794800986,0.0011798890034188866,0.0015460880089445737,0.0015413938254188089,0.001210027120831853,0.00047504904565506654,0.0018181935279945642,0.0014729231598270805,0.001334229656617324,0.0030456354343625504,0.1440961259999042
