,prior,historical,posterior,views
ASIANPAINT,0.025192862382927235,0.3022702653763316,0.08341132746973712,0.134039338
AXISBANK,0.026030021818658936,0.10329300467606184,0.06060000692099059,0.080620015
BAJFINANCE,0.025890387300746824,0.5985866159435362,0.13385041031094483,0.23223383
BHARTIARTL,0.02875694936492479,0.06801213003212148,0.04994138540426767,0.06329739200000001
HCLTECH,0.025493630133993885,0.23993501742210266,0.0750131237110616,0.11778855
HDFC,0.029540987641034987,0.11689926752503199,0.05769737025751925,0.074360553
HDFCBANK,0.03394804805864267,0.2108204781181633,0.07440262036144685,0.105196844
HINDUNILVR,0.03240235371620564,0.24326052018291566,0.07763246712887073,0.116377075
ICICIBANK,0.028314746607197357,0.1419052033724275,0.06716849627119992,0.09249049599999999
INFY,0.02856358582226731,0.1755106004798126,0.06621636368627672,0.096939482
ITC,0.026905918169138957,0.11403402393569428,0.05253738119561974,0.071356641
KOTAKBANK,0.02831704815013597,0.19215857486833876,0.07063671472233621,0.102309112
LT,0.025627980335104064,0.04269418843524608,0.04309562931546054,0.048612752
MARUTI,0.025955216548027932,0.1429216693947888,0.06080560260956984,0.08565260300000001
NESTLEIND,0.027605646214602132,0.42183992908181,0.14046231977819643,0.248298678
RELIANCE,0.045516134960820465,0.11998135418151556,0.06959473506147587,0.083181537
SBIN,0.02652926385754849,0.05299556382039694,0.05020487553302168,0.06122452900000001
SUNPHARMA,0.02408097625814578,0.1341756272343495,0.056605165477318135,0.08268945700000001
TCS,0.038824891700150646,0.20981140972566403,0.07726657355463411,0.109229433
WIPRO,0.024383911751523876,0.06835933973240049,0.04226497831139253,0.053436169000000006
