,ASIANPAINT,AXISBANK,BAJFINANCE,BHARTIARTL,HCLTECH,HDFC,HDFCBANK,HINDUNILVR,ICICIBANK,INFY,ITC,KOTAKBANK,LT,MARUTI,NESTLEIND,RELIANCE,SBIN,SUNPHARMA,TCS,WIPRO
ASIANPAINT,0.0781547308321425,0.025186262090034835,0.01574007130055961,0.015294070709930836,0.0042681955626007965,0.025447366560705894,0.02147859207282895,0.012985990814061099,0.026095001367598892,0.005185188188978037,0.014031376577106932,0.02192461633064529,0.02487050840713396,0.02046535639010912,0.010348090889941486,0.01845418349023981,0.021770899616993272,0.014330926357021722,0.00902681427159841,0.007500363870087049
AXISBANK,0.025186262090034835,0.12873434557689054,0.04146651624285242,0.024309450461040952,0.000931372681214465,0.04461985406359652,0.047101182397470395,0.008655665831395197,0.07228748295374185,0.006437443830701885,0.01073536567017577,0.0488762105916158,0.06482607572027126,0.04116560845638847,0.008923972250373342,0.03447839752948773,0.0651237174101552,0.010614509719249293,-0.0004930557219403932,0.0025938812487664186
BAJFINANCE,0.01574007130055961,0.04146651624285242,0.12624915977358803,0.011810942156094953,0.002568282509987187,0.022897869001639603,0.021566974016590704,0.010832338156062351,0.030906119664090147,-0.0009446136444347002,0.013419477129030516,0.030210246695945634,0.030367965162268577,0.018426052216766367,0.009477061695608417,0.019856632855414145,0.03374441407782117,0.008443331305456577,0.00461477125047316,-0.0017901922082913366
BHARTIARTL,0.015294070709930836,0.024309450461040952,0.011810942156094953,0.1024486226301207,-0.0026925050985355903,0.02434191132111337,0.020070750623521292,0.004982793748556395,0.02921452386122016,0.004002466894510814,0.015737042402123175,0.021489334568337307,0.025875761935400844,0.017228932666707174,0.008352449673649582,0.023573591458704038,0.0285215643890702,0.007988451567826184,0.0018253317804668798,0.004901575096170885
HCLTECH,0.0042681955626007965,0.000931372681214465,0.002568282509987187,-0.0026925050985355903,0.08118644421353947,0.006574918690170948,0.004389758159842647,0.009171175212441113,0.004303828021617246,0.02551060011732195,0.0075046450903414,0.0028807779456922985,0.007309916140949729,-0.00012411237735830482,0.006893380322320627,0.008740082354775363,-0.0023735368308558857,0.009740905863141868,0.03236752043754533,0.029863206683985958
HDFC,0.025447366560705894,0.04461985406359652,0.022897869001639603,0.02434191132111337,0.006574918690170948,0.07829107521815316,0.035267626723772344,0.011638968364123727,0.03979487626717053,0.00632066640247887,0.019336421586332062,0.03501693151780111,0.03352052864981144,0.021452580222033456,0.008889975557364956,0.02464514792137649,0.03436248129743837,0.0142929325718417,0.007672021539696174,0.006788520130963266
HDFCBANK,0.02147859207282895,0.047101182397470395,0.021566974016590704,0.020070750623521292,0.004389758159842647,0.03526762672377235,0.05687953305914921,0.010894868781213067,0.041775491513415565,0.006012971194722213,0.017141973067334417,0.03538088857300297,0.037047306072587445,0.02458082018576179,0.005042202983411088,0.025627138080110228,0.032634014685335375,0.009871755673785171,0.0062275164676733035,0.003964750055004491
HINDUNILVR,0.012985990814061099,0.008655665831395197,0.010832338156062351,0.004982793748556395,0.009171175212441113,0.011638968364123727,0.010894868781213067,0.07165093935181277,0.011712558737739544,0.0031808118480174167,0.01481229460493282,0.013662713426366052,0.007907220227754756,0.010324523465224155,0.013628131462699157,0.008544357222808045,0.006298833983554912,0.0098006356979256,0.005786710225342741,0.006569335691090635
ICICIBANK,0.026095001367598892,0.07228748295374185,0.030906119664090147,0.02921452386122016,0.004303828021617246,0.03979487626717053,0.041775491513415565,0.011712558737739546,0.1044337573976467,0.009412937935165977,0.01790921767298214,0.04345041720960093,0.05720319652565492,0.034558868743884426,0.008752680325594541,0.03407202449715677,0.06115660382872306,0.01008982755366468,0.005985154247689378,0.004633594366734523
INFY,0.005185188188978037,0.006437443830701885,-0.0009446136444347002,0.004002466894510814,0.02551060011732195,0.00632066640247887,0.006012971194722213,0.0031808118480174167,0.009412937935165977,0.0958223526143681,0.0011951101255074786,0.0018493627648979156,0.009177543991950655,-0.000351134666785988,0.0026494462577848583,0.003441157264972739,0.006369692517996787,0.008272435632382056,0.02990606671836198,0.03126471285736667
