,prior,historical,posterior,views
ASIANPAINT,0.13484797273685614,0.4631214110611661,0.11849066224107567,0.134039338
AXISBANK,0.20871198617290646,0.45524999391559273,0.11103549416635666,0.080620015
BAJFINANCE,0.1393615972670213,0.9443152374976389,0.16268104038803552,0.23223383
BHARTIARTL,0.1449706324148208,0.0646036961643337,0.0861270822215847,0.06329739200000001
HCLTECH,0.09952234888506131,0.6451279635409142,0.10465857102165578,0.11778855
HDFC,0.1758662092744863,0.25500613377554027,0.10654442657267023,0.074360553
HDFCBANK,0.16989552268541727,0.2758128468320329,0.10746961552919201,0.105196844
HINDUNILVR,0.11156045734763134,0.326258943991397,0.1186867322622967,0.116377075
ICICIBANK,0.21041156578691547,0.3973843228337217,0.11629317549399916,0.09249049599999999
INFY,0.10549485219287924,0.34457007530145,0.09209199141412379,0.096939482
ITC,0.11132652436717469,0.16833926590912052,0.08639394915360635,0.071356641
KOTAKBANK,0.16787238473531474,0.35633117609247433,0.10764216241274469,0.102309112
LT,0.18901816959432055,0.28140701108814814,0.09284397042859349,0.048612752
MARUTI,0.13023951232850278,0.41115291414064403,0.08610628213822634,0.08565260300000001
NESTLEIND,0.07578601544215637,0.15255025586994142,0.1544641987699552,0.248298678
RELIANCE,0.18182543863638276,0.06497639014848455,0.11550171549563244,0.083181537
SBIN,0.18901332889801944,0.31610258332708097,0.09362745423427438,0.06122452900000001
SUNPHARMA,0.08780763983735299,0.5767362672232945,0.08300829174019589,0.08268945700000001
TCS,0.12394816025772139,0.33025306431836055,0.11838504036970376,0.109229433
WIPRO,0.09638861186996617,0.19367428079720872,0.07478226558100268,0.053436169000000006
