,prior,historical,posterior,views
ASIANPAINT,-0.00563570153744964,0.33249697691916325,0.09346212416967048,0.134039338
AXISBANK,-0.04317559889278827,0.053470148141646634,0.08545817730077115,0.080620015
BAJFINANCE,-0.01993075575769587,0.5352912484584977,0.14185272475642202,0.23223383
BHARTIARTL,-0.021303370418393867,-0.017217985233335953,0.06101820174764555,0.06329739200000001
HCLTECH,-0.018567160628063278,0.4897787961672744,0.09086939532887087,0.11778855
HDFC,-0.028010650303489048,0.029354693227427786,0.07775053149096682,0.074360553
HDFCBANK,-0.029326616294414676,0.15743230701297906,0.08075016314469353,0.105196844
HINDUNILVR,-0.007063435247828372,0.24862837643181157,0.08525232463939186,0.116377075
ICICIBANK,-0.04334884836824286,0.08574532020067838,0.08629750104369972,0.09249049599999999
INFY,-0.01822760657284347,0.13730848464380307,0.07349274736461994,0.096939482
ITC,-0.010078497031451809,0.2595881796464854,0.0709225221314071,0.071356641
KOTAKBANK,-0.03234505577115211,0.16918738307290138,0.08544598351181583,0.102309112
LT,-0.034967975743209145,-0.04662639883224351,0.07413281058973348,0.048612752
MARUTI,-0.01300578937049104,0.0810537473828048,0.06852205360120747,0.08565260300000001
NESTLEIND,0.006103676673692396,0.12805783810101357,0.1426511193680709,0.248298678
RELIANCE,-0.03411461229432254,-0.03584512384259375,0.07089994299802262,0.083181537
SBIN,-0.034240640739548356,0.027113978547212758,0.06780987852521723,0.06122452900000001
SUNPHARMA,-0.005734398105540689,0.3475807860594802,0.06882616237047984,0.08268945700000001
TCS,-0.020748372457188576,0.26892873642244686,0.07968899107397709,0.109229433
WIPRO,-0.011007179280209459,0.09338368412909537,0.058210792728813354,0.053436169000000006
