,prior,historical,posterior,views
ASIANPAINT,0.13145208963207586,0.45756796541030265,0.11804952780984611,0.134039338
AXISBANK,0.20318471372289226,0.44775777086219004,0.11042715439479243,0.080620015
BAJFINANCE,0.13594418394187116,0.9410098464019263,0.16219446926401826,0.23223383
BHARTIARTL,0.1411059044716272,0.05656588126880879,0.08544000478990507,0.06329739200000001
HCLTECH,0.09799890923237084,0.6693498854310138,0.10421142398127481,0.11778855
HDFC,0.17125711103198768,0.24856338339474626,0.10586666742906299,0.074360553
HDFCBANK,0.16555158921253937,0.27180188983688125,0.1067672448658784,0.105196844
HINDUNILVR,0.10883326679707457,0.32168240763347944,0.11805452194726143,0.116377075
ICICIBANK,0.20471176393427853,0.38671354171792127,0.11555795843142118,0.09249049599999999
INFY,0.10345674488372938,0.3543490940393361,0.09150029684542196,0.096939482
ITC,0.10845085775119982,0.16067362543832497,0.08594913766875548,0.071356641
KOTAKBANK,0.16315924490005293,0.34055491213369815,0.10707902587212403,0.102309112
LT,0.18417044815317365,0.27816627472534705,0.09225512484810063,0.048612752
MARUTI,0.12741648891938712,0.41868141502110734,0.08569461860768993,0.08565260300000001
NESTLEIND,0.07429419612322931,0.1541334708227875,0.15421070146883287,0.248298678
RELIANCE,0.17710642606612484,0.060712648480130804,0.11441289391298158,0.083181537
SBIN,0.18391346328931354,0.3060696187307035,0.0929829530578875,0.06122452900000001
SUNPHARMA,0.08502131573846015,0.5488939451252894,0.08277987743744536,0.08268945700000001
TCS,0.1211358322196202,0.3327638304808682,0.11751139284661596,0.109229433
WIPRO,0.09415228272885201,0.1911742590368426,0.07438805936421354,0.053436169000000006
