,ASIANPAINT,AXISBANK,BAJFINANCE,BHARTIARTL,HCLTECH,HDFC,HDFCBANK,HINDUNILVR,ICICIBANK,INFY,ITC,KOTAKBANK,LT,MARUTI,NESTLEIND,RELIANCE,SBIN,SUNPHARMA,TCS,WIPRO
ASIANPAINT,0.07348739309540728,0.023840537268957546,0.012999958096531003,0.015029030832169672,0.005183235832145653,0.023150818543072254,0.020470597839497062,0.010530741245093391,0.023677328117480714,0.004323520616721223,0.01245801372200533,0.020214093196826433,0.024861892537778565,0.019687816394743513,0.009355517254076996,0.017537116196843665,0.019816082088957306,0.012564762326038724,0.008603650406251703,0.007394432629274638
AXISBANK,0.023840537268957546,0.1293827009776755,0.04185702096810286,0.030266872106192798,0.0029120338045810017,0.044865501686615614,0.04750138163825373,0.008491270753228666,0.0771415288475557,0.008173602598318824,0.013468522502914948,0.0524504533347976,0.0685790913777897,0.04004022381739384,0.009421080931649598,0.038249176246692836,0.0718663088035702,0.009388171192800481,-6.933161442591922e-05,0.0021210938178152926
BAJFINANCE,0.012999958096531003,0.04185702096810286,0.12382794824632604,0.014365959316401698,0.0038591374973670806,0.022822755450518366,0.02247029921324642,0.00945182554329287,0.032697566654901346,0.0010564947425828436,0.015376117211205444,0.030684049226374556,0.03204614793385612,0.01682390387122804,0.008370593668592038,0.022859126898042634,0.03674620383216439,0.009895836820085805,0.004133111026066105,-0.0009436436478241151
BHARTIARTL,0.015029030832169672,0.030266872106192794,0.014365959316401698,0.10329045372612652,0.001354637787212527,0.025428326210598533,0.021227408605294835,0.006438038573747447,0.034101031320017676,0.006829909303821179,0.013793033973409927,0.02501003353013039,0.030952241632208825,0.01864386936250955,0.009822635689880383,0.025795600833506155,0.033619219908851236,0.00933170862342951,0.003979757147612183,0.00748111915497355
HCLTECH,0.005183235832145653,0.0029120338045810013,0.0038591374973670806,0.001354637787212527,0.07843486535701218,0.005779061477836209,0.0051091966190618485,0.008885819782436378,0.008466595877469991,0.026296770563590432,0.0066891265947203815,0.004514246257010519,0.011192154162926828,0.0016068658664090106,0.008511087860288306,0.009391927090337928,0.0015744791023773782,0.007718592657024499,0.03329644434748775,0.029559021793273008
HDFC,0.023150818543072254,0.044865501686615614,0.022822755450518366,0.025428326210598533,0.005779061477836209,0.07173590538630456,0.03540071744547948,0.011404196736752442,0.03951453623864504,0.005254241919338163,0.016913290160182816,0.03602505281098164,0.034197957134012136,0.021051860165377814,0.0077155429682098,0.023884451213248087,0.03384434816014353,0.013760532286670108,0.005971309137480642,0.004066337109892831
HDFCBANK,0.020470597839497062,0.04750138163825373,0.02247029921324642,0.021227408605294835,0.0051091966190618485,0.03540071744547948,0.05720741002294155,0.010925552006797925,0.042744712957895906,0.005595958548583231,0.017192433375479026,0.038022915047121436,0.03769642655276755,0.02371543593612145,0.0052782234788464645,0.027416397789917064,0.03391959266953567,0.009745241435495234,0.006150155376925601,0.00315540304768582
HINDUNILVR,0.010530741245093391,0.008491270753228666,0.00945182554329287,0.006438038573747448,0.008885819782436378,0.011404196736752442,0.010925552006797925,0.06556554631008177,0.01262048274921386,0.0022054573050778858,0.018246517186518863,0.014037619132127841,0.00764932229450481,0.010118677887919278,0.012365104276742905,0.009443881923659548,0.005455467244804184,0.008414170905754161,0.005572013766045698,0.008024884769338141
ICICIBANK,0.023677328117480714,0.07714152884755568,0.032697566654901346,0.034101031320017676,0.008466595877469991,0.03951453623864504,0.042744712957895906,0.012620482749213862,0.10743575181269603,0.01047462783649623,0.01635515290223617,0.048126629171511,0.06104659480230373,0.032753659849859,0.009434790524826113,0.03672861080732573,0.0641426716822515,0.009522457630323528,0.006502426699049737,0.006296206364191178
INFY,0.004323520616721223,0.008173602598318824,0.0010564947425828436,0.006829909303821179,0.026296770563590432,0.005254241919338163,0.005595958548583231,0.0022054573050778858,0.01047462783649623,0.09615707359298369,0.0024167343838272723,0.0025695688475473244,0.010943535979317496,0.0006831216369280767,0.004214723134057889,0.004116323984254642,0.006284490354250319,0.007989360321169321,0.03159757957880514,0.031891633723618557
ITC,0.01245801372200533,0.013468522502914948,0.015376117211205444,0.013793033973409927,0.0066891265947203815,0.016913290160182812,0.017192433375479026,0.018246517186518863,0.01635515290223617,0.0024167343838272723,0.05581098641103784,0.01620073422024355,0.010543000446081177,0.009745881813093618,0.005733206917007136,0.008629601325327226,0.010267529891156826,0.01218070236672823,0.008764529325215238,0.0034139451886092994
KOTAKBANK,0.020214093196826433,0.0524504533347976,0.030684049226374556,0.02501003353013039,0.004514246257010519,0.03602505281098164,0.038022915047121436,0.014037619132127841,0.048126629171511,0.0025695688475473244,0.01620073422024355,0.08384420147756222,0.04377575560689391,0.025198018529006966,0.006501782209283829,0.028455704062105215,0.043643270393604605,0.013567237883988413,0.00292596489854476,0.003024722907110338
LT,0.024861892537778565,0.0685790913777897,0.03204614793385612,0.030952241632208825,0.011192154162926828,0.034197957134012136,0.03769642655276755,0.00764932229450481,0.06104659480230373,0.010943535979317496,0.010543000446081177,0.04377575560689391,0.10371180320724142,0.037138534062908485,0.008200862157713979,0.038120246823313636,0.05775557151329069,0.010076356036103165,0.0021231816909037813,0.005252380039237216
MARUTI,0.019687816394743513,0.04004022381739384,0.01682390387122804,0.01864386936250955,0.0016068658664090106,0.021051860165377814,0.02371543593612145,0.010118677887919278,0.032753659849859,0.0006831216369280767,0.009745881813093618,0.025198018529006966,0.037138534062908485,0.08823176333909434,0.006526750948460745,0.021327182543730804,0.03352926070294219,0.0050384952838247,-0.0032140543020186766,-0.000831862682337559
NESTLEIND,0.009355517254076996,0.009421080931649598,0.008370593668592038,0.009822635689880383,0.008511087860288306,0.0077155429682098,0.0052782234788464645,0.012365104276742905,0.009434790524826113,0.004214723134057889,0.005733206917007136,0.006501782209283829,0.008200862157713979,0.006526750948460745,0.0460558483599931,0.008041512382997149,0.006395621469051094,0.0074255385172741625,0.006931593303828833,0.005003972689522137
RELIANCE,0.017537116196843665,0.038249176246692836,0.022859126898042634,0.025795600833506155,0.00939192709033793,0.023884451213248087,0.027416397789917064,0.009443881923659548,0.03672861080732573,0.004116323984254642,0.008629601325327226,0.028455704062105215,0.038120246823313636,0.021327182543730804,0.008041512382997149,0.06627910986518755,0.03843626684413472,0.00880448827538114,0.007351044154608951,0.007963568704572967
SBIN,0.019816082088957306,0.0718663088035702,0.03674620383216439,0.033619219908851236,0.0015744791023773782,0.03384434816014353,0.03391959266953567,0.005455467244804184,0.0641426716822515,0.006284490354250319,0.010267529891156826,0.043643270393604605,0.05775557151329069,0.03352926070294219,0.006395621469051094,0.03843626684413472,0.1362343306629265,0.0007562713658144573,-0.002325215954026413,0.0026838500730953906
SUNPHARMA,0.012564762326038724,0.009388171192800481,0.009895836820085805,0.00933170862342951,0.007718592657024499,0.013760532286670108,0.009745241435495234,0.008414170905754161,0.009522457630323528,0.007989360321169321,0.01218070236672823,0.013567237883988413,0.010076356036103165,0.0050384952838247,0.0074255385172741625,0.00880448827538114,0.0007562713658144572,0.06610772484087016,0.007945550676191966,0.008668665361274636
TCS,0.008603650406251703,-6.933161442591926e-05,0.004133111026066105,0.003979757147612183,0.03329644434748775,0.005971309137480642,0.006150155376925601,0.005572013766045698,0.006502426699049737,0.03159757957880514,0.008764529325215238,0.00292596489854476,0.0021231816909037813,-0.0032140543020186766,0.006931593303828833,0.007351044154608951,-0.002325215954026413,0.007945550676191966,0.0679117701562817,0.029278660703583564
WIPRO,0.007394432629274638,0.0021210938178152926,-0.0009436436478241151,0.00748111915497355,0.029559021793273008,0.004066337109892831,0.00315540304768582,0.008024884769338141,0.006296206364191178,0.031891633723618557,0.0034139451886092994,0.003024722907110338,0.005252380039237216,-0.000831862682337559,0.005003972689522137,0.007963568704572967,0.0026838500730953906,0.008668665361274636,0.029278660703583564,0.07446734829187762
