,ASIANPAINT,AXISBANK,BAJFINANCE,BHARTIARTL,HCLTECH,HDFC,HDFCBANK,HINDUNILVR,ICICIBANK,INFY,ITC,KOTAKBANK,LT,MARUTI,NESTLEIND,RELIANCE,SBIN,SUNPHARMA,TCS,WIPRO
ASIANPAINT,0.07809637965378118,0.025209886291953174,0.015737856594611674,0.015356815477343497,0.004107708925573369,0.025470918894717882,0.02148539894965981,0.013006755535806245,0.026145253804244654,0.005100642691396318,0.014085105385800071,0.022025239078391923,0.024866043847792223,0.020382142543393413,0.010320034154137708,0.01847413069786396,0.021826162377653443,0.014510772841626914,0.008994790484547299,0.00751319311638589
AXISBANK,0.025209886291953174,0.12864684222064923,0.04143836356994977,0.024389931316754102,0.0007200232428366843,0.04463910355362634,0.04708797845094134,0.008694929448102972,0.07230963199455963,0.006323662191125751,0.010818337404972234,0.048988773058086785,0.06478118312807032,0.041036176602741295,0.008892323272310269,0.03449358360056113,0.06515427875977653,0.010868276940013312,-0.0005205773642989948,0.0026206439638098464
BAJFINANCE,0.015737856594611674,0.04143836356994977,0.1260971055140986,0.011831071922370262,0.0024994906037957526,0.02289302201431348,0.021554594635584606,0.010834557825975543,0.0309028578391575,-0.000976538140874741,0.013433067657466949,0.030227115159751197,0.03034156423742002,0.018378900277006227,0.009458894540740717,0.019850175133313913,0.03373738373952763,0.008516486810796486,0.004600077780213946,-0.0017787035117897664
BHARTIARTL,0.015356815477343497,0.024389931316754102,0.011831071922370262,0.10248548274159575,-0.0030030983100005192,0.024422860059916864,0.02011322427318033,0.005051131289258573,0.029345188672079865,0.003839699189340002,0.01586115231716875,0.021720802439062645,0.025896826371857994,0.01709045819046677,0.00831128592478887,0.023630922319620537,0.028652530365639903,0.008376912154056162,0.0017812818716182773,0.004940517993169646
HCLTECH,0.004107708925573369,0.0007200232428366844,0.0024994906037957526,-0.0030030983100005192,0.08168724513028576,0.006355902595928297,0.004256723277303405,0.009018145300277518,0.003980935647325727,0.025780029953361434,0.007222315783722166,0.0023858650536760537,0.007200344264092525,9.999143948559464e-05,0.0069438878519571395,0.008564696984176437,-0.0026875330390019603,0.00897049165787347,0.032407110160327095,0.02974025239135136
HDFC,0.025470918894717882,0.04463910355362634,0.022893022014313483,0.02442286005991686,0.006355902595928297,0.07826735627067438,0.035269389404358004,0.011674731273882308,0.03985789982382525,0.006206637106717633,0.019409194070605776,0.03514743228743299,0.033514876959404805,0.021347390360261433,0.00885830805862068,0.02467286233835812,0.03443176378647701,0.01454360046718927,0.007634258464750455,0.006810234945940373
HDFCBANK,0.02148539894965981,0.04708797845094134,0.021554594635584606,0.02011322427318033,0.004256723277303405,0.035269389404358004,0.05683497432037687,0.010911767150901109,0.041791754522183616,0.005941210343782905,0.017179345867601354,0.03544244071656567,0.037023151876228205,0.024502906978889384,0.005023526478460335,0.02563063420083115,0.03266129515493015,0.01002179435182019,0.006202573641763205,0.003977935620416243
HINDUNILVR,0.013006755535806245,0.008694929448102972,0.010834557825975543,0.005051131289258573,0.009018145300277518,0.011674731273882308,0.010911767150901109,0.07159372477306078,0.011773436050081895,0.0031055379251888468,0.014858817241237124,0.013762498444211665,0.007921450526525696,0.010258716244169994,0.01359718842769697,0.008572864806542319,0.006366166387017849,0.00996884601412029,0.005760669211013865,0.006581563742739033
ICICIBANK,0.026145253804244654,0.07230963199455963,0.0309028578391575,0.029345188672079865,0.003980935647325727,0.03985789982382525,0.041791754522183616,0.011773436050081895,0.1044716815935366,0.009241517240642145,0.018032323512238664,0.04365786622922432,0.057185863012523624,0.03439735676618783,0.008710618608644605,0.034117268311945656,0.06124901811537797,0.010480393243944343,0.005935429244585925,0.004673415112932666
INFY,0.005100642691396318,0.006323662191125751,-0.000976538140874741,0.003839699189340002,0.025780029953361434,0.006206637106717633,0.005941210343782905,0.0031055379251888468,0.009241517240642145,0.095853453660924,0.001056216003343305,0.0015999371332988625,0.009115406483573453,-0.00023825761608186575,0.0026757504835147727,0.003353994433455458,0.00620246193096758,0.007881025085583825,0.029908688312330987,0.031182440344947094
