,ASIANPAINT,AXISBANK,BAJFINANCE,BHARTIARTL,HCLTECH,HDFC,HDFCBANK,HINDUNILVR,ICICIBANK,INFY,ITC,KOTAKBANK,LT,MARUTI,NESTLEIND,RELIANCE,SBIN,SUNPHARMA,TCS,WIPRO
ASIANPAINT,0.06984230651147644,0.026147560879294013,0.014330320742788736,0.01661851668715154,0.00984586821458396,0.024712471995980336,0.02110168786253291,0.010314001417007359,0.028468677742834556,0.0075696583501975905,0.012328791994210744,0.021692222630329563,0.029092664648413785,0.019442569045270676,0.010532564973395673,0.016989170091748478,0.02114297255464986,0.014467841369201753,0.009794832451708087,0.009024180163332108
AXISBANK,0.026147560879294013,0.15178023526746337,0.04944272157095915,0.03721429815128328,0.02719069931481149,0.057308118822063644,0.06079887847996209,0.01470982740964673,0.0930849257158961,0.029196539186351504,0.02509411628630666,0.06341540234979223,0.0781787904279024,0.045495076611297425,0.009738687408885161,0.04703108301938974,0.08286249391721202,0.020985523249013708,0.020755052920449702,0.016791084943658597
BAJFINANCE,0.014330320742788736,0.04944272157095915,0.13769003522137527,0.023149706299934295,0.014687204748092058,0.03212145179142602,0.03358630414468527,0.016607380628455366,0.04175175589362884,0.012061475508091285,0.022745319228049354,0.035262700235177975,0.04162352169421155,0.023776979124176298,0.011304587766137306,0.02883594607681152,0.04312936416750748,0.015461614608968709,0.01327017932261885,0.010471619524301347
BHARTIARTL,0.01661851668715154,0.03721429815128328,0.023149706299934295,0.11088692910097556,0.012485121161535825,0.032279747692940446,0.0271030396381255,0.008956618580474513,0.04205077885988155,0.01810084984217623,0.02089908672562185,0.03118585714770358,0.03911385170022854,0.02083494797655754,0.009442664401766138,0.03131887614487463,0.04020063081478792,0.019174512998696453,0.01528002937968843,0.016612273634383893
HCLTECH,0.00984586821458396,0.02719069931481149,0.014687204748092056,0.012485121161535825,0.0940686338662219,0.01960728445091548,0.020328899670549155,0.011499062962451971,0.03054951105834268,0.03869662271161846,0.015928554122093017,0.023781413764285678,0.026853262217418506,0.012618200775173921,0.01076119100674058,0.02674753250657816,0.022360599270513547,0.01576666086515851,0.04458198582946775,0.03888091216081218
HDFC,0.024712471995980336,0.057308118822063644,0.03212145179142602,0.032279747692940446,0.01960728445091548,0.08211773389544476,0.04720713668577413,0.01581278929337178,0.05427196185766275,0.019043844695518217,0.023343107913174132,0.04802284324525493,0.045130581805344974,0.029717045567270648,0.00896387511035485,0.033462327965913634,0.04425879190389181,0.02113586987227932,0.018051107859268778,0.014505182876408647
HDFCBANK,0.02110168786253291,0.06079887847996209,0.03358630414468527,0.0271030396381255,0.020328899670549155,0.04720713668577413,0.07056287129574423,0.017191927235416026,0.05602463192343084,0.020527802310099652,0.023184298770259272,0.048221393248823234,0.046742175934424576,0.02847777047564465,0.0065619035842058296,0.03516602812196555,0.046464210061939216,0.018928280499497588,0.02109911680855659,0.013532569936429947
HINDUNILVR,0.010314001417007359,0.01470982740964673,0.016607380628455366,0.008956618580474513,0.011499062962451971,0.01581278929337178,0.017191927235416026,0.07098941241613643,0.01711963671653195,0.0071762303400177575,0.021036294342140587,0.01962971505611084,0.013947620158497914,0.011083673979617703,0.010203228834056553,0.015742452152160323,0.009509290981885394,0.009380925252400946,0.011682703900333484,0.009543563868947414
ICICIBANK,0.028468677742834556,0.0930849257158961,0.04175175589362883,0.04205077885988155,0.03054951105834268,0.05427196185766275,0.05602463192343084,0.01711963671653195,0.12074790973371378,0.03128111093040524,0.026258568501645194,0.06259941814100115,0.07124786298152011,0.03634233499886946,0.009129991475581418,0.04823465767258957,0.07736170285936808,0.023004130091843034,0.024953347374915197,0.021692904508122293
INFY,0.0075696583501975905,0.029196539186351504,0.012061475508091285,0.01810084984217623,0.03869662271161846,0.019043844695518217,0.020527802310099652,0.007176230340017757,0.03128111093040524,0.10626556673223546,0.010545631249557576,0.018958598360385673,0.025643826346733126,0.011842005002950932,0.007035718017555201,0.02041695062542779,0.023797873531762378,0.011014100050756587,0.0422511222463699,0.040751143036769674
ITC,0.012328791994210744,0.02509411628630666,0.022745319228049354,0.02089908672562185,0.015928554122093017,0.023343107913174132,0.023184298770259272,0.021036294342140587,0.026258568501645194,0.010545631249557576,0.05986832960916733,0.0236288976444366,0.02079819532426497,0.013555181687372578,0.008960398574838024,0.018899960126519906,0.018584972827198128,0.016459813544352473,0.01736297381339941,0.00911913325323188
KOTAKBANK,0.021692222630329563,0.06341540234979223,0.035262700235177975,0.03118585714770358,0.023781413764285678,0.04802284324525493,0.048221393248823234,0.01962971505611084,0.06259941814100115,0.018958598360385673,0.0236288976444366,0.09615928240375926,0.05505160980622272,0.030274044933521094,0.008887038312853762,0.04070145613411746,0.05315032276910199,0.022577846772613947,0.017527886294875287,0.01668661615327191
LT,0.029092664648413785,0.0781787904279024,0.041623521694211546,0.03911385170022854,0.026853262217418506,0.045130581805344974,0.046742175934424576,0.013947620158497914,0.07124786298152011,0.025643826346733126,0.02079819532426497,0.05505160980622273,0.11681496191725782,0.041267724213312235,0.009505570877591735,0.043257137533573596,0.06457237446014039,0.02207768696649565,0.01871177506434474,0.018950128698088216
MARUTI,0.019442569045270676,0.045495076611297425,0.023776979124176298,0.02083494797655754,0.012618200775173921,0.029717045567270648,0.02847777047564465,0.011083673979617703,0.03634233499886946,0.011842005002950932,0.013555181687372578,0.030274044933521094,0.041267724213312235,0.09301193056808724,0.0057877889484202714,0.024647259069340007,0.037704020963363206,0.011917736068323833,0.006995554743548295,0.007908687286007026
NESTLEIND,0.010532564973395673,0.009738687408885161,0.011304587766137306,0.009442664401766138,0.01076119100674058,0.00896387511035485,0.0065619035842058296,0.010203228834056553,0.009129991475581418,0.007035718017555201,0.008960398574838024,0.008887038312853762,0.009505570877591735,0.0057877889484202714,0.04841648424732207,0.00836516349997052,0.008223810050547594,0.007043387955073443,0.007714254371483421,0.005617554651338329
RELIANCE,0.016989170091748478,0.04703108301938974,0.028835946076811524,0.03131887614487463,0.02674753250657816,0.033462327965913634,0.03516602812196555,0.015742452152160323,0.04823465767258957,0.02041695062542779,0.018899960126519906,0.04070145613411745,0.043257137533573596,0.024647259069340007,0.00836516349997052,0.08028217877706237,0.043504099213294796,0.021463217875580542,0.024035150591363626,0.021644151767356984
SBIN,0.02114297255464986,0.08286249391721202,0.04312936416750748,0.04020063081478792,0.022360599270513547,0.04425879190389181,0.046464210061939216,0.009509290981885394,0.07736170285936808,0.023797873531762378,0.018584972827198128,0.05315032276910199,0.06457237446014039,0.037704020963363206,0.008223810050547594,0.043504099213294796,0.149144933640254,0.013778791131222415,0.013474399732601129,0.017387813202169432
SUNPHARMA,0.014467841369201753,0.020985523249013708,0.015461614608968709,0.019174512998696453,0.01576666086515851,0.02113586987227932,0.018928280499497588,0.009380925252400946,0.023004130091843034,0.011014100050756587,0.016459813544352473,0.022577846772613947,0.02207768696649565,0.011917736068323833,0.007043387955073443,0.02146321787558054,0.013778791131222415,0.06933283709207376,0.012353055872894777,0.012228997294702582
TCS,0.009794832451708087,0.020755052920449702,0.01327017932261885,0.01528002937968843,0.04458198582946775,0.018051107859268778,0.02109911680855659,0.011682703900333484,0.0249533473749152,0.0422511222463699,0.01736297381339941,0.017527886294875287,0.01871177506434474,0.006995554743548295,0.007714254371483421,0.024035150591363626,0.013474399732601129,0.012353055872894777,0.07825927027241039,0.03654926408641776
WIPRO,0.009024180163332108,0.016791084943658597,0.010471619524301347,0.016612273634383893,0.03888091216081218,0.014505182876408647,0.013532569936429947,0.009543563868947414,0.021692904508122293,0.040751143036769674,0.00911913325323188,0.01668661615327191,0.018950128698088216,0.007908687286007026,0.005617554651338329,0.021644151767356984,0.017387813202169432,0.012228997294702582,0.03654926408641776,0.08079811705940865
